Experiment,Plate,Colony,Orientation,Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP,,
A,2,NA,NA,B1,S_NTC,S1_Assay,NTC,SYBR,None,32.7091,,,,,,TRUE,0.1397,TRUE,3,28,76.0072,81.8303,,,Y,N,N,Y,,,
A,2,NA,NA,B2,S_NTC,S1_Assay,NTC,SYBR,None,31.6245,,,,,,TRUE,0.1397,TRUE,3,27,73.1702,,,,Y,N,N,N,,,
A,2,NA,NA,B3,S_e-2,S1_Assay,STANDARD,SYBR,None,30.6154,30.4329,0.258,0.01,,,TRUE,0.1397,TRUE,3,26,79.5949,77.0572,,,N,N,N,Y,,,
A,2,NA,NA,B4,S_e-2,S1_Assay,STANDARD,SYBR,None,30.2505,30.4329,0.258,0.01,,,TRUE,0.1397,TRUE,3,26,79.5949,,,,N,N,N,N,,,
A,2,NA,NA,B5,S_e-1,S1_Assay,STANDARD,SYBR,None,26.9845,26.7813,0.2873,0.1,,,TRUE,0.1397,TRUE,3,22,79.2991,,,,N,N,N,N,,,
A,2,NA,NA,B6,S_e-1,S1_Assay,STANDARD,SYBR,None,26.5782,26.7813,0.2873,0.1,,,TRUE,0.1397,TRUE,3,22,79.2991,,,,N,N,N,N,,,
A,2,NA,NA,B7,S_e0,S1_Assay,STANDARD,SYBR,None,18.769,18.8001,0.044,1,,,TRUE,0.1397,TRUE,3,14,79.5923,,,,N,N,N,N,,,
A,2,NA,NA,B8,S_e0,S1_Assay,STANDARD,SYBR,None,18.8313,18.8001,0.044,1,,,TRUE,0.1397,TRUE,3,14,79.7416,,,,N,N,N,N,,,
A,2,NA,NA,B9,S_e+1,S1_Assay,STANDARD,SYBR,None,,,,,,,TRUE,0.1397,TRUE,3,28,,,,,N,N,N,N,,,
A,2,NA,NA,B10,S_e+1,S1_Assay,STANDARD,SYBR,None,,,,,,,TRUE,0.1397,TRUE,3,28,,,,,N,N,N,N,,,
A,2,NA,NA,B11,DD_Red05_0W,S1_Assay,UNKNOWN,SYBR,None,32.6681,32.6603,0.011,0.0055,0.0055,0,TRUE,0.1397,TRUE,3,28,73.3231,,,,N,N,N,N,,,
A,2,NA,NA,B12,DD_Red05_0W,S1_Assay,UNKNOWN,SYBR,None,32.6525,32.6603,0.011,0.0055,0.0055,0,TRUE,0.1397,TRUE,3,28,73.4724,,,,N,N,N,N,,,
A,2,NA,NA,C1,D_NTC,D1_Assay,NTC,SYBR,None,34.7002,,,,,,TRUE,0.0454,TRUE,3,32,75.2606,65.2567,87.3549,,Y,N,N,Y,,,
A,2,NA,NA,C2,D_NTC,D1_Assay,NTC,SYBR,None,34.0165,,,,,,TRUE,0.0454,TRUE,3,31,70.4826,74.6634,80.3372,,Y,N,N,Y,,,
A,2,NA,NA,C3,D_e-2,D1_Assay,STANDARD,SYBR,None,29.8489,29.7897,0.0837,0.01,,,TRUE,0.0454,TRUE,3,27,73.4744,,,,N,N,N,N,,,
A,2,NA,NA,C4,D_e-2,D1_Assay,STANDARD,SYBR,None,29.7306,29.7897,0.0837,0.01,,,TRUE,0.0454,TRUE,3,26,73.4744,,,,N,N,N,N,,,
A,2,NA,NA,C5,D_e-1,D1_Assay,STANDARD,SYBR,None,28.5845,28.3875,0.2786,0.1,,,TRUE,0.0454,TRUE,3,26,73.1762,,,,N,N,N,N,,,
A,2,NA,NA,C6,D_e-1,D1_Assay,STANDARD,SYBR,None,28.1904,28.3875,0.2786,0.1,,,TRUE,0.0454,TRUE,3,25,73.3256,,,,N,N,N,N,,,
A,2,NA,NA,C7,D_e0,D1_Assay,STANDARD,SYBR,None,24.3032,24.2621,0.0581,1,,,TRUE,0.0454,TRUE,3,21,73.0233,,,,N,N,N,N,,,
A,2,NA,NA,C8,D_e0,D1_Assay,STANDARD,SYBR,None,24.2211,24.2621,0.0581,1,,,TRUE,0.0454,TRUE,3,21,73.0233,,,,N,N,N,N,,,
A,2,NA,NA,C9,D_e+1,D1_Assay,STANDARD,SYBR,None,19.4585,19.4401,0.0261,10,,,TRUE,0.0454,TRUE,3,16,73.6211,,,,N,N,N,N,,,
A,2,NA,NA,C10,D_e+1,D1_Assay,STANDARD,SYBR,None,19.4217,19.4401,0.0261,10,,,TRUE,0.0454,TRUE,3,16,73.6211,,,,N,N,N,N,,,
A,2,NA,NA,C11,DD_Red05_0W,D1_Assay,UNKNOWN,SYBR,None,14.6285,14.5053,0.1742,382.1195,415.5463,47.2726,TRUE,0.0454,TRUE,3,12,73.4724,,,,N,N,N,N,,,
